    Elements		    BubbleSort		            SelectionSort		                InsertSort		            HeapSort		            MergeSort		            QuickSort		             RadixSort		               SmoothSort		            Timsort		                CombSort
    2^11 = 2048 	    0.15727880s (45.61%)    	0.34482870s (100.00%)    	    0.00060122s (0.17%)    	    0.00916574s (2.66%)    	    0.00391186s (1.13%)     	0.00313617s (0.91%)    	    0.00206769s (0.60%)    	    0.00941859s (2.73%)    	    0.00166107s (0.48%)    	    0.00866987s (2.51%)    	
    2^12 = 4096 	    0.69665821s (50.13%)    	1.38982657s (100.00%)    	    0.00120687s (0.09%)    	    0.02058887s (1.48%)    	    0.00863500s (0.62%)     	0.00682396s (0.49%)    	    0.00432329s (0.31%)    	    0.02103702s (1.51%)    	    0.00379933s (0.27%)    	    0.02009066s (1.45%)    	
    2^13 = 8192 	    3.06545925s (55.52%)    	5.52157946s (100.00%)    	    0.00250992s (0.05%)    	    0.04428862s (0.80%)    	    0.01848080s (0.33%)     	0.01450332s (0.26%)    	    0.00892766s (0.16%)    	    0.04584366s (0.83%)    	    0.00832349s (0.15%)    	    0.04493053s (0.81%)    	
    2^14 = 16384       11.90411917s (53.62%)       22.19951257s (100.00%)           0.00520689s (0.02%)    	    0.09696063s (0.44%)    	    0.04035582s (0.18%)     	0.03170402s (0.14%)    	    0.01890230s (0.09%)    	    0.10034474s (0.45%)    	    0.01867271s (0.08%)    	    0.09867591s (0.44%)    	


    Reversed Sorted

    2^3 = 8 	    	0.00000667s (50.57%)    	0.00000744s (56.35%)    	    0.00000389s (29.47%)    	0.00000859s (65.06%)    	0.00000747s (56.60%)    	0.00000631s (47.80%)    	0.00001320s (100.00%)    	0.00000849s (64.32%)    	0.00000406s (30.75%)    	0.00000724s (54.89%)    	
    2^4 = 16 	    	0.00002556s (100.00%)    	0.00002283s (89.34%)    	    0.00001227s (47.99%)    	0.00002185s (85.48%)    	0.00001614s (63.13%)    	0.00001523s (59.61%)    	0.00002078s (81.30%)    	0.00002128s (83.25%)    	0.00001260s (49.28%)    	0.00001837s (71.86%)    	
    2^5 = 32 	    	0.00010006s (100.00%)    	0.00008396s (83.91%)    	    0.00004503s (45.00%)    	0.00005324s (53.21%)    	0.00003743s (37.41%)    	0.00003641s (36.38%)    	0.00003658s (36.55%)    	0.00005608s (56.04%)    	0.00004242s (42.40%)    	0.00005187s (51.83%)    	
